subject,stimulus,Auto_WaveV_ms
N1,100_R1,5.979166666666666
N1,100_R2,6.020833333333334
N1,20_R1,8.229166666666666
N1,20_R2,7.5
N1,40_R1,5.5625
N1,40_R2,8.291666666666666
N1,60_R1,13.208333333333334
N1,60_R2,9.270833333333334
N1,80_R1,9.1875
N1,80_R2,9.833333333333332
N2,100_R1,6.3125
N2,100_R2,6.291666666666667
N2,40_R1,11.854166666666668
N2,40_R2,10.520833333333334
N2,60_R1,7.1875
N2,60_R2,7.583333333333333
N2,80_R1,6.75
N2,80_R2,8.333333333333334
N3,100_R1,9.208333333333334
N3,100_R2,7.1875
N3,40_R1,11.8125
N3,40_R2,13.5625
N3,60_R1,13.9375
N3,60_R2,12.1875
N3,80_R1,12.125
N3,80_R2,13.6875
N4,100_R1,8.1875
N4,100_R2,8.125
N4,40_R1,8.020833333333332
N4,40_R2,8.458333333333334
N4,60_R1,9.270833333333334
N4,60_R2,5.729166666666666
N4,80_R1,6.25
N4,80_R2,6.583333333333333
N5,100_R1,5.9375
N5,100_R2,6.020833333333334
N5,40_R1,12.625
N5,40_R2,11.666666666666668
N5,60_R1,7.0625
N5,60_R2,7.1875
N5,80_R1,12.833333333333334
N5,80_R2,6.270833333333333
N6,100_R1,10.25
N6,100_R2,9.541666666666668
N6,20_R1,9.0625
N6,20_R2,7.583333333333333
N6,40_R1,6.5
N6,40_R2,7.583333333333333
N6,60_R1,7.125
N6,60_R2,8.333333333333334
N6,80_R1,13.5
N6,80_R2,6.354166666666667
N7,100_R1,7.479166666666667
N7,100_R2,7.375
N7,40_R1,9.583333333333332
N7,40_R2,7.625
N7,60_R1,7.25
N7,60_R2,7.1875
N7,80_R1,7.6875
N7,80_R2,7.895833333333333
N8,100_R1,9.3125
N8,100_R2,13.145833333333334
N8,40_R1,10.291666666666666
N8,40_R2,12.8125
