subject,stimulus,WaveV_ms
N1,100_R1,6.0
N1,100_R2,7.104166666666666
N1,20_R1,8.229166666666666
N1,20_R2,0
N1,40_R1,7.666666666666666
N1,40_R2,0
N1,60_R1,6.979166666666666
N1,60_R2,7.291666666666666
N1,80_R1,6.791666666666666
N1,80_R2,0
N2,100_R1,6.3125
N2,100_R2,6.3125
N2,40_R1,7.833333333333333
N2,40_R2,7.770833333333333
N2,60_R1,7.1875
N2,60_R2,7.604166666666666
N2,80_R1,6.770833333333333
N2,80_R2,6.729166666666666
N3,100_R1,11.604166666666666
N3,100_R2,10.583333333333332
N3,40_R1,0
N3,40_R2,0
N3,60_R1,13.0625
N3,60_R2,12.791666666666666
N3,80_R1,12.104166666666666
N3,80_R2,12.104166666666666
N4,100_R1,6.354166666666666
N4,100_R2,6.104166666666666
N4,40_R1,7.979166666666666
N4,40_R2,0
N4,60_R1,7.4375
N4,60_R2,7.541666666666666
N4,80_R1,6.666666666666666
N4,80_R2,6.979166666666666
N5,100_R1,5.979166666666666
N5,100_R2,6.083333333333333
N5,40_R1,8.0625
N5,40_R2,7.854166666666666
N5,60_R1,7.0625
N5,60_R2,7.145833333333333
N5,80_R1,6.3125
N5,80_R2,6.520833333333333
N6,100_R1,5.854166666666666
N6,100_R2,5.9375
N6,20_R1,7.854166666666666
N6,20_R2,0
N6,40_R1,7.5
N6,40_R2,7.520833333333333
N6,60_R1,7.125
N6,60_R2,7.395833333333333
N6,80_R1,6.375
N6,80_R2,6.583333333333333
N7,100_R1,5.875
N7,100_R2,5.8125
N7,40_R1,0
N7,40_R2,8.0
N7,60_R1,7.520833333333333
N7,60_R2,7.520833333333333
N7,80_R1,6.4375
N7,80_R2,6.395833333333333
N8,100_R1,11.229166666666666
N8,100_R2,11.291666666666666
N8,40_R1,0
N8,40_R2,0
